CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Alpha Cognac                        , 61.77.6555       , Roulet         , Annette         
" ""Double Decker Gift Stores Ltd""    ", (171) 555-7555   , Hardy          , Thomas          
 Enaco Distributors                  , (93) 203 4555    , Saavedra       , Eduardo         
" ""Men 'R' US Retailers Ltd.""        ", 2155554369       , Chandler       , Michael         
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
 Cambridge Collectables Co.          , 6175555555       , Tseng          , Kyung           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
" ""Bavarian Collectables Imports Co.""", +49 89 61 08 9555, Donnermeyer    , Michael         
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
 giftsbymail.co.uk                   , (198) 555-8888   , Bennett        , Helen           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Auto-Moto Classics Inc.             , 6175558428       , Taylor         , Leslie          
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
" ""Australian Collectables Ltd""      ", 61-9-3844-6555   , Connery        , Sean            
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Gift Ideas Corp.                    , 2035554407       , Lewis          , Dan             
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
 Alpha Cognac                        , 61.77.6555       , Roulet         , Annette         
 Cruz & Sons Co.                     , +63 2 555 3587   , Cruz           , Arnold          
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
" ""Bavarian Collectables Imports Co.""", +49 89 61 08 9555, Donnermeyer    , Michael         
 Mini Classics                       , 9145554562       , Frick          , Steve           
 giftsbymail.co.uk                   , (198) 555-8888   , Bennett        , Helen           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Enaco Distributors                  , (93) 203 4555    , Saavedra       , Eduardo         
 Auto-Moto Classics Inc.             , 6175558428       , Taylor         , Leslie          
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 Boards & Toys Co.                   , 3105552373       , Young          , Leslie          
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 CAF Imports                         , +34 913 728 555  , Fernandez      , Jesus           
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 Enaco Distributors                  , (93) 203 4555    , Saavedra       , Eduardo         
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 Petit Auto                          , (02) 5554 67     , Dewey          , Catherine       
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 giftsbymail.co.uk                   , (198) 555-8888   , Bennett        , Helen           
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Alpha Cognac                        , 61.77.6555       , Roulet         , Annette         
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Mini Auto Werke                     , 7675-3555        , Mendel         , Roland          
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Auto Assoc. & Cie.                  , 30.59.8555       , Tonini         , Daniel          
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
